combo,disc,mod,ev1,ev2,mgap,dens,mu
degree-betweenness,73388,0.8617284331877272,26.558459284383126,24.462930486925075,0.8747264065919917,0.015549549549549551,0.1
degree-closeness,96869,0.8617284331877272,26.558459284383126,24.462930486925075,0.8747264065919917,0.015549549549549551,0.1
degree-eigenvector,140956,0.8617284331877272,26.558459284383126,24.462930486925075,0.8747264065919917,0.015549549549549551,0.1
betweenness-closeness,143158,0.8617284331877272,26.558459284383126,24.462930486925075,0.8747264065919917,0.015549549549549551,0.1
betweenness-eigenvector,189486,0.8617284331877272,26.558459284383126,24.462930486925075,0.8747264065919917,0.015549549549549551,0.1
closeness-eigenvector,81127,0.8617284331877272,26.558459284383126,24.462930486925075,0.8747264065919917,0.015549549549549551,0.1
degree-betweenness,74006,0.8593320578897,24.100881240864823,23.695200898155775,0.8697347893915757,0.0153993993993994,0.1
degree-closeness,93844,0.8593320578897,24.100881240864823,23.695200898155775,0.8697347893915757,0.0153993993993994,0.1
degree-eigenvector,143270,0.8593320578897,24.100881240864823,23.695200898155775,0.8697347893915757,0.0153993993993994,0.1
betweenness-closeness,140763,0.8593320578897,24.100881240864823,23.695200898155775,0.8697347893915757,0.0153993993993994,0.1
betweenness-eigenvector,194236,0.8593320578897,24.100881240864823,23.695200898155775,0.8697347893915757,0.0153993993993994,0.1
closeness-eigenvector,81703,0.8593320578897,24.100881240864823,23.695200898155775,0.8697347893915757,0.0153993993993994,0.1
degree-betweenness,74006,0.8593320578897,24.100881240864823,23.695200898155772,0.8697347893915757,0.0153993993993994,0.1
degree-closeness,93844,0.8593320578897,24.100881240864823,23.695200898155772,0.8697347893915757,0.0153993993993994,0.1
degree-eigenvector,143270,0.8593320578897,24.100881240864823,23.695200898155772,0.8697347893915757,0.0153993993993994,0.1
betweenness-closeness,140763,0.8593320578897,24.100881240864823,23.695200898155772,0.8697347893915757,0.0153993993993994,0.1
betweenness-eigenvector,194236,0.8593320578897,24.100881240864823,23.695200898155772,0.8697347893915757,0.0153993993993994,0.1
closeness-eigenvector,81703,0.8593320578897,24.100881240864823,23.695200898155772,0.8697347893915757,0.0153993993993994,0.1
degree-betweenness,74006,0.8593320578897,24.100881240864855,23.695200898155754,0.8697347893915757,0.0153993993993994,0.1
degree-closeness,93844,0.8593320578897,24.100881240864855,23.695200898155754,0.8697347893915757,0.0153993993993994,0.1
degree-eigenvector,143270,0.8593320578897,24.100881240864855,23.695200898155754,0.8697347893915757,0.0153993993993994,0.1
betweenness-closeness,140763,0.8593320578897,24.100881240864855,23.695200898155754,0.8697347893915757,0.0153993993993994,0.1
betweenness-eigenvector,194236,0.8593320578897,24.100881240864855,23.695200898155754,0.8697347893915757,0.0153993993993994,0.1
closeness-eigenvector,81703,0.8593320578897,24.100881240864855,23.695200898155754,0.8697347893915757,0.0153993993993994,0.1
degree-betweenness,74006,0.8593320578897,24.100881240864886,23.695200898155843,0.8697347893915757,0.0153993993993994,0.1
degree-closeness,93844,0.8593320578897,24.100881240864886,23.695200898155843,0.8697347893915757,0.0153993993993994,0.1
degree-eigenvector,143270,0.8593320578897,24.100881240864886,23.695200898155843,0.8697347893915757,0.0153993993993994,0.1
betweenness-closeness,140763,0.8593320578897,24.100881240864886,23.695200898155843,0.8697347893915757,0.0153993993993994,0.1
betweenness-eigenvector,194236,0.8593320578897,24.100881240864886,23.695200898155843,0.8697347893915757,0.0153993993993994,0.1
closeness-eigenvector,81703,0.8593320578897,24.100881240864886,23.695200898155843,0.8697347893915757,0.0153993993993994,0.1
degree-betweenness,74006,0.8593320578897,24.100881240864855,23.69520089815579,0.8697347893915757,0.0153993993993994,0.1
degree-closeness,93844,0.8593320578897,24.100881240864855,23.69520089815579,0.8697347893915757,0.0153993993993994,0.1
degree-eigenvector,143270,0.8593320578897,24.100881240864855,23.69520089815579,0.8697347893915757,0.0153993993993994,0.1
betweenness-closeness,140763,0.8593320578897,24.100881240864855,23.69520089815579,0.8697347893915757,0.0153993993993994,0.1
betweenness-eigenvector,194236,0.8593320578897,24.100881240864855,23.69520089815579,0.8697347893915757,0.0153993993993994,0.1
closeness-eigenvector,81703,0.8593320578897,24.100881240864855,23.69520089815579,0.8697347893915757,0.0153993993993994,0.1
degree-betweenness,74006,0.8593320578897,24.100881240864922,23.695200898155836,0.8697347893915757,0.0153993993993994,0.1
degree-closeness,93844,0.8593320578897,24.100881240864922,23.695200898155836,0.8697347893915757,0.0153993993993994,0.1
degree-eigenvector,143270,0.8593320578897,24.100881240864922,23.695200898155836,0.8697347893915757,0.0153993993993994,0.1
betweenness-closeness,140763,0.8593320578897,24.100881240864922,23.695200898155836,0.8697347893915757,0.0153993993993994,0.1
betweenness-eigenvector,194236,0.8593320578897,24.100881240864922,23.695200898155836,0.8697347893915757,0.0153993993993994,0.1
closeness-eigenvector,81703,0.8593320578897,24.100881240864922,23.695200898155836,0.8697347893915757,0.0153993993993994,0.1
degree-betweenness,74006,0.8593320578897,24.100881240864876,23.695200898155797,0.8697347893915757,0.0153993993993994,0.1
degree-closeness,93844,0.8593320578897,24.100881240864876,23.695200898155797,0.8697347893915757,0.0153993993993994,0.1
degree-eigenvector,143270,0.8593320578897,24.100881240864876,23.695200898155797,0.8697347893915757,0.0153993993993994,0.1
betweenness-closeness,140763,0.8593320578897,24.100881240864876,23.695200898155797,0.8697347893915757,0.0153993993993994,0.1
betweenness-eigenvector,194236,0.8593320578897,24.100881240864876,23.695200898155797,0.8697347893915757,0.0153993993993994,0.1
closeness-eigenvector,81703,0.8593320578897,24.100881240864876,23.695200898155797,0.8697347893915757,0.0153993993993994,0.1
degree-betweenness,74006,0.8593320578897,24.10088124086487,23.695200898155765,0.8697347893915757,0.0153993993993994,0.1
degree-closeness,93844,0.8593320578897,24.10088124086487,23.695200898155765,0.8697347893915757,0.0153993993993994,0.1
degree-eigenvector,143270,0.8593320578897,24.10088124086487,23.695200898155765,0.8697347893915757,0.0153993993993994,0.1
betweenness-closeness,140763,0.8593320578897,24.10088124086487,23.695200898155765,0.8697347893915757,0.0153993993993994,0.1
betweenness-eigenvector,194236,0.8593320578897,24.10088124086487,23.695200898155765,0.8697347893915757,0.0153993993993994,0.1
closeness-eigenvector,81703,0.8593320578897,24.10088124086487,23.695200898155765,0.8697347893915757,0.0153993993993994,0.1
degree-betweenness,74006,0.8593320578897,24.100881240864872,23.695200898155818,0.8697347893915757,0.0153993993993994,0.1
degree-closeness,93844,0.8593320578897,24.100881240864872,23.695200898155818,0.8697347893915757,0.0153993993993994,0.1
degree-eigenvector,143270,0.8593320578897,24.100881240864872,23.695200898155818,0.8697347893915757,0.0153993993993994,0.1
betweenness-closeness,140763,0.8593320578897,24.100881240864872,23.695200898155818,0.8697347893915757,0.0153993993993994,0.1
betweenness-eigenvector,194236,0.8593320578897,24.100881240864872,23.695200898155818,0.8697347893915757,0.0153993993993994,0.1
closeness-eigenvector,81703,0.8593320578897,24.100881240864872,23.695200898155818,0.8697347893915757,0.0153993993993994,0.1
degree-betweenness,53064,0.8102319649080681,22.828038023746895,21.04988637953033,0.8697009102730819,0.015395395395395396,0.15000000000000002
degree-closeness,83717,0.8102319649080681,22.828038023746895,21.04988637953033,0.8697009102730819,0.015395395395395396,0.15000000000000002
degree-eigenvector,129528,0.8102319649080681,22.828038023746895,21.04988637953033,0.8697009102730819,0.015395395395395396,0.15000000000000002
betweenness-closeness,118439,0.8102319649080681,22.828038023746895,21.04988637953033,0.8697009102730819,0.015395395395395396,0.15000000000000002
betweenness-eigenvector,169266,0.8102319649080681,22.828038023746895,21.04988637953033,0.8697009102730819,0.015395395395395396,0.15000000000000002
closeness-eigenvector,76078,0.8102319649080681,22.828038023746895,21.04988637953033,0.8697009102730819,0.015395395395395396,0.15000000000000002
degree-betweenness,53064,0.8102319649080681,22.828038023746895,21.049886379530438,0.8697009102730819,0.015395395395395396,0.15000000000000002
degree-closeness,83717,0.8102319649080681,22.828038023746895,21.049886379530438,0.8697009102730819,0.015395395395395396,0.15000000000000002
degree-eigenvector,129528,0.8102319649080681,22.828038023746895,21.049886379530438,0.8697009102730819,0.015395395395395396,0.15000000000000002
betweenness-closeness,118439,0.8102319649080681,22.828038023746895,21.049886379530438,0.8697009102730819,0.015395395395395396,0.15000000000000002
betweenness-eigenvector,169266,0.8102319649080681,22.828038023746895,21.049886379530438,0.8697009102730819,0.015395395395395396,0.15000000000000002
closeness-eigenvector,76078,0.8102319649080681,22.828038023746895,21.049886379530438,0.8697009102730819,0.015395395395395396,0.15000000000000002
degree-betweenness,53064,0.8102319649080681,22.8280380237469,21.04988637953035,0.8697009102730819,0.015395395395395396,0.15000000000000002
degree-closeness,83717,0.8102319649080681,22.8280380237469,21.04988637953035,0.8697009102730819,0.015395395395395396,0.15000000000000002
degree-eigenvector,129528,0.8102319649080681,22.8280380237469,21.04988637953035,0.8697009102730819,0.015395395395395396,0.15000000000000002
betweenness-closeness,118439,0.8102319649080681,22.8280380237469,21.04988637953035,0.8697009102730819,0.015395395395395396,0.15000000000000002
betweenness-eigenvector,169266,0.8102319649080681,22.8280380237469,21.04988637953035,0.8697009102730819,0.015395395395395396,0.15000000000000002
closeness-eigenvector,76078,0.8102319649080681,22.8280380237469,21.04988637953035,0.8697009102730819,0.015395395395395396,0.15000000000000002
degree-betweenness,53064,0.8102319649080681,22.82803802374685,21.04988637953034,0.8697009102730819,0.015395395395395396,0.15000000000000002
degree-closeness,83717,0.8102319649080681,22.82803802374685,21.04988637953034,0.8697009102730819,0.015395395395395396,0.15000000000000002
degree-eigenvector,129528,0.8102319649080681,22.82803802374685,21.04988637953034,0.8697009102730819,0.015395395395395396,0.15000000000000002
betweenness-closeness,118439,0.8102319649080681,22.82803802374685,21.04988637953034,0.8697009102730819,0.015395395395395396,0.15000000000000002
betweenness-eigenvector,169266,0.8102319649080681,22.82803802374685,21.04988637953034,0.8697009102730819,0.015395395395395396,0.15000000000000002
closeness-eigenvector,76078,0.8102319649080681,22.82803802374685,21.04988637953034,0.8697009102730819,0.015395395395395396,0.15000000000000002
degree-betweenness,53064,0.8102319649080681,22.82803802374688,21.04988637953041,0.8697009102730819,0.015395395395395396,0.15000000000000002
degree-closeness,83717,0.8102319649080681,22.82803802374688,21.04988637953041,0.8697009102730819,0.015395395395395396,0.15000000000000002
degree-eigenvector,129528,0.8102319649080681,22.82803802374688,21.04988637953041,0.8697009102730819,0.015395395395395396,0.15000000000000002
betweenness-closeness,118439,0.8102319649080681,22.82803802374688,21.04988637953041,0.8697009102730819,0.015395395395395396,0.15000000000000002
betweenness-eigenvector,169266,0.8102319649080681,22.82803802374688,21.04988637953041,0.8697009102730819,0.015395395395395396,0.15000000000000002
closeness-eigenvector,76078,0.8102319649080681,22.82803802374688,21.04988637953041,0.8697009102730819,0.015395395395395396,0.15000000000000002
degree-betweenness,53064,0.8102319649080681,22.82803802374685,21.049886379530356,0.8697009102730819,0.015395395395395396,0.15000000000000002
degree-closeness,83717,0.8102319649080681,22.82803802374685,21.049886379530356,0.8697009102730819,0.015395395395395396,0.15000000000000002
degree-eigenvector,129528,0.8102319649080681,22.82803802374685,21.049886379530356,0.8697009102730819,0.015395395395395396,0.15000000000000002
betweenness-closeness,118439,0.8102319649080681,22.82803802374685,21.049886379530356,0.8697009102730819,0.015395395395395396,0.15000000000000002
betweenness-eigenvector,169266,0.8102319649080681,22.82803802374685,21.049886379530356,0.8697009102730819,0.015395395395395396,0.15000000000000002
closeness-eigenvector,76078,0.8102319649080681,22.82803802374685,21.049886379530356,0.8697009102730819,0.015395395395395396,0.15000000000000002
degree-betweenness,53064,0.8102319649080681,22.82803802374685,21.049886379530445,0.8697009102730819,0.015395395395395396,0.15000000000000002
degree-closeness,83717,0.8102319649080681,22.82803802374685,21.049886379530445,0.8697009102730819,0.015395395395395396,0.15000000000000002
degree-eigenvector,129528,0.8102319649080681,22.82803802374685,21.049886379530445,0.8697009102730819,0.015395395395395396,0.15000000000000002
betweenness-closeness,118439,0.8102319649080681,22.82803802374685,21.049886379530445,0.8697009102730819,0.015395395395395396,0.15000000000000002
betweenness-eigenvector,169266,0.8102319649080681,22.82803802374685,21.049886379530445,0.8697009102730819,0.015395395395395396,0.15000000000000002
closeness-eigenvector,76078,0.8102319649080681,22.82803802374685,21.049886379530445,0.8697009102730819,0.015395395395395396,0.15000000000000002
degree-betweenness,53064,0.8102319649080681,22.82803802374685,21.049886379530403,0.8697009102730819,0.015395395395395396,0.15000000000000002
degree-closeness,83717,0.8102319649080681,22.82803802374685,21.049886379530403,0.8697009102730819,0.015395395395395396,0.15000000000000002
degree-eigenvector,129528,0.8102319649080681,22.82803802374685,21.049886379530403,0.8697009102730819,0.015395395395395396,0.15000000000000002
betweenness-closeness,118439,0.8102319649080681,22.82803802374685,21.049886379530403,0.8697009102730819,0.015395395395395396,0.15000000000000002
betweenness-eigenvector,169266,0.8102319649080681,22.82803802374685,21.049886379530403,0.8697009102730819,0.015395395395395396,0.15000000000000002
